hero_id,Pick Count,Ban Count,Pick Rate,Ban Rate,Pick Rank,Ban Rank,Win Rate,roles
81,574,285,6.74,3.35,62,102,48.0,"['Carry', 'Disabler', 'Durable', 'Pusher', 'Initiator']"
57,566,1259,6.65,14.79,63,38,52.0,"['Support', 'Durable', 'Nuker']"
63,554,1335,6.51,15.68,64,35,50.0,"['Carry', 'Escape']"
126,552,1382,6.48,16.23,65,33,48.0,"['Carry', 'Escape', 'Nuker', 'Disabler']"
15,538,753,6.32,8.85,66,60,49.0,"['Carry', 'Durable', 'Nuker', 'Pusher']"
44,535,372,6.28,4.37,67,92,45.0,"['Carry', 'Escape']"
71,524,677,6.16,7.95,68,65,51.0,"['Carry', 'Initiator', 'Disabler', 'Durable', 'Escape']"
45,508,442,5.97,5.19,69,86,50.0,"['Nuker', 'Pusher']"
52,493,398,5.79,4.68,70,90,53.0,"['Carry', 'Support', 'Nuker', 'Pusher', 'Disabler']"
108,491,468,5.77,5.5,71,84,46.0,"['Support', 'Nuker', 'Disabler', 'Durable', 'Escape']"
89,488,2156,5.73,25.33,72,13,57.0,"['Carry', 'Support', 'Pusher', 'Disabler', 'Initiator', 'Escape']"
27,487,140,5.72,1.64,73,116,49.0,"['Support', 'Pusher', 'Disabler', 'Nuker', 'Initiator']"
92,469,1721,5.51,20.22,74,20,53.0,"['Support', 'Nuker', 'Durable', 'Disabler', 'Pusher']"
135,461,416,5.42,4.89,75,87,52.0,"['Carry', 'Durable']"
121,454,130,5.33,1.53,76,120,48.0,"['Support', 'Nuker', 'Disabler', 'Escape']"
42,441,251,5.18,2.95,77,106,49.0,"['Carry', 'Support', 'Durable', 'Disabler', 'Initiator']"
101,427,103,5.02,1.21,78,121,49.0,"['Support', 'Nuker', 'Disabler']"
34,409,891,4.8,10.47,79,54,49.0,"['Carry', 'Nuker', 'Pusher']"
61,398,1357,4.68,15.94,80,34,54.0,"['Carry', 'Pusher', 'Escape', 'Nuker']"
102,390,648,4.58,7.61,81,67,47.0,"['Support', 'Carry', 'Durable']"
62,385,508,4.52,5.97,82,79,57.0,"['Escape', 'Nuker']"
85,381,175,4.48,2.06,83,113,45.0,"['Support', 'Durable', 'Disabler', 'Nuker']"
33,373,887,4.38,10.42,84,55,55.0,"['Disabler', 'Initiator', 'Pusher']"
54,373,613,4.38,7.2,84,70,45.0,"['Carry', 'Durable', 'Escape', 'Disabler']"
60,363,503,4.26,5.91,86,80,53.0,"['Carry', 'Initiator', 'Durable', 'Disabler', 'Nuker']"
